time (s),position (m),speed (m/s)
0.1,0.013333333333333334,0.13333333333333333
0.2,0.04,0.26666666666666666
0.30000000000000004,0.08000000000000002,0.4
0.4,0.13333333333333336,0.5333333333333333
0.5,0.2,0.6666666666666666
0.6,0.28,0.7999999999999999
0.7,0.37333333333333335,0.9333333333333332
0.7999999999999999,0.48000000000000004,1.0666666666666667
0.8999999999999999,0.6000000000000001,1.2
0.9999999999999999,0.7333333333333334,1.3333333333333333
1.0999999999999999,0.8800000000000001,1.4666666666666666
1.2,1.04,1.5999999999999999
1.3,1.2133333333333334,1.7333333333333332
1.4000000000000001,1.4,1.8666666666666665
1.5000000000000002,1.5999999999999999,1.9999999999999998
1.6000000000000003,1.8133333333333332,2.1333333333333333
1.7000000000000004,2.04,2.2666666666666666
1.8000000000000005,2.2800000000000002,2.4
1.9000000000000006,2.5333333333333337,2.533333333333333
2.0000000000000004,2.8000000000000003,2.6666666666666665
2.1000000000000005,3.08,2.8
2.2000000000000006,3.3733333333333335,2.933333333333333
2.3000000000000007,3.68,3.0666666666666664
2.400000000000001,4.0,3.1999999999999997
2.500000000000001,4.333333333333333,3.333333333333333
2.600000000000001,4.68,3.4666666666666663
2.700000000000001,5.04,3.5999999999999996
2.800000000000001,5.413333333333333,3.733333333333333
2.9000000000000012,5.8,3.8666666666666663
3.0000000000000013,6.2,3.9999999999999996
3.1000000000000014,6.613333333333333,4.133333333333333
3.2000000000000015,7.04,4.266666666666667
3.3000000000000016,7.48,4.4
3.4000000000000017,7.933333333333334,4.533333333333334
3.5000000000000018,8.4,4.666666666666668
3.600000000000002,8.88,4.800000000000002
3.700000000000002,9.373333333333335,4.933333333333335
3.800000000000002,9.880000000000003,5.066666666666669
3.900000000000002,10.400000000000002,5.200000000000003
4.000000000000002,10.933333333333335,5.333333333333337
4.100000000000001,11.480000000000002,5.46666666666667
4.200000000000001,12.040000000000003,5.600000000000004
4.300000000000001,12.613333333333337,5.733333333333338
4.4,13.200000000000005,5.866666666666672
4.5,13.800000000000004,6.000000000000005
4.6,14.413333333333338,6.133333333333339
4.699999999999999,15.040000000000004,6.266666666666673
4.799999999999999,15.680000000000005,6.400000000000007
4.899999999999999,16.33333333333334,6.53333333333334
4.999999999999998,17.000000000000007,6.666666666666674
5.099999999999998,17.680000000000007,6.800000000000008
5.1999999999999975,18.373333333333342,6.933333333333342
5.299999999999997,19.08000000000001,7.066666666666675
5.399999999999997,19.80000000000001,7.200000000000009
5.4999999999999964,20.533333333333346,7.333333333333343
5.599999999999996,21.280000000000012,7.4666666666666766
5.699999999999996,22.040000000000013,7.60000000000001
5.799999999999995,22.813333333333347,7.733333333333344
5.899999999999995,23.600000000000016,7.866666666666678
5.999999999999995,24.400000000000016,8.00000000000001
6.099999999999994,25.213333333333352,8.133333333333344
6.199999999999994,26.04000000000002,8.266666666666676
6.299999999999994,26.88000000000002,8.40000000000001
6.399999999999993,27.733333333333356,8.533333333333342
6.499999999999993,28.600000000000023,8.666666666666675
6.5999999999999925,29.480000000000025,8.800000000000008
6.699999999999992,30.37333333333336,8.93333333333334
6.799999999999992,31.280000000000026,9.066666666666674
6.8999999999999915,32.200000000000024,9.200000000000006
6.999999999999991,33.13333333333336,9.33333333333334
7.099999999999991,34.08000000000003,9.466666666666672
7.19999999999999,35.04000000000003,9.600000000000005
7.29999999999999,36.013333333333364,9.733333333333338
7.39999999999999,37.00000000000003,9.86666666666667
7.499999999999989,38.00000000000003,10.000000000000004
7.599999999999989,39.013333333333364,10.133333333333336
7.699999999999989,40.04000000000003,10.26666666666667
7.799999999999988,41.08000000000003,10.400000000000002
7.899999999999988,42.13333333333336,10.533333333333335
7.999999999999988,43.20000000000003,10.666666666666668
8.099999999999987,44.28000000000003,10.8
8.199999999999987,45.37333333333336,10.933333333333334
8.299999999999986,46.48000000000003,11.066666666666666
8.399999999999986,47.60000000000003,11.2
8.499999999999986,48.73333333333336,11.333333333333332
8.599999999999985,49.88000000000003,11.466666666666665
8.699999999999985,51.04000000000003,11.599999999999998
8.799999999999985,52.21333333333336,11.73333333333333
8.899999999999984,53.40000000000003,11.866666666666664
8.999999999999984,54.60000000000003,11.999999999999996
9.099999999999984,55.81333333333336,12.13333333333333
9.199999999999983,57.04000000000003,12.266666666666662
9.299999999999983,58.28000000000003,12.399999999999995
9.399999999999983,59.53333333333336,12.533333333333328
9.499999999999982,60.800000000000026,12.66666666666666
9.599999999999982,62.08000000000003,12.799999999999994
9.699999999999982,63.373333333333356,12.933333333333326
9.799999999999981,64.68000000000002,13.06666666666666
9.89999999999998,66.00000000000001,13.199999999999992
9.99999999999998,67.33333333333334,13.333333333333325
10.09999999999998,68.68,13.466666666666658
10.19999999999998,70.04,13.59999999999999
10.29999999999998,71.41333333333334,13.733333333333324
10.399999999999979,72.80000000000001,13.866666666666656
10.499999999999979,74.20000000000002,13.99999999999999
10.599999999999978,75.61333333333334,14.133333333333322
10.699999999999978,77.04,14.266666666666655
10.799999999999978,78.48,14.399999999999988
10.899999999999977,79.93333333333334,14.53333333333332
10.999999999999977,81.4,14.666666666666654
11.099999999999977,82.88000000000001,14.799999999999986
11.199999999999976,84.37333333333333,14.93333333333332
11.299999999999976,85.88,15.066666666666652
11.399999999999975,87.39999999999999,15.199999999999985
11.499999999999975,88.93333333333332,15.333333333333318
11.599999999999975,90.47999999999999,15.46666666666665
11.699999999999974,92.03999999999999,15.599999999999984
11.799999999999974,93.61333333333333,15.733333333333317
11.899999999999974,95.19999999999999,15.86666666666665
11.999999999999973,96.79999999999998,15.999999999999982
12.099999999999973,98.41333333333331,16.133333333333315
12.199999999999973,100.03999999999998,16.266666666666648
